Name,Link,MRP,DiscountedPrice,DiscountPercent
"Atta Sharbati MP Whole Wheat - Rotis Stay Softer For Longer, Fortified",https://www.bigbasket.com/pd/40189429/bb-royal-superior-mp-sharbati-atta-fortified-10-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,650,474.50,27
"Atta Sharbati MP Whole Wheat - Rotis Stay Softer For Longer, Fortified",https://www.bigbasket.com/pd/40189429/bb-royal-superior-mp-sharbati-atta-fortified-10-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,650,474.50,27
Coriander Seeds/Kottambari Beeja,https://www.bigbasket.com/pd/40018894/bb-royal-corianderdhania-seeds-500-g/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,250,130,48
Organic - Raw Peanuts/Kadalekayi,https://www.bigbasket.com/pd/40094998/bb-royal-organic-raw-peanuts-1-kg/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,269,192,29
Urad Gota/Whole,https://www.bigbasket.com/pd/20000430/bb-royal-urad-gota-whole-2-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,420,304,28
Urad Gota/Whole,https://www.bigbasket.com/pd/20000430/bb-royal-urad-gota-whole-2-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,420,304,28
Oil - Gingelly,https://www.bigbasket.com/pd/148681/idhayam-oil-gingelly-1-l-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,490,450,40
Black Pepper/Kari Menasu,https://www.bigbasket.com/pd/40073432/bb-popular-black-pepperkali-mirch-200-g-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,280,169,40
Saffola Tasty-Pro Fitness Conscious Edible Oil 3x1L + BB Royal Cumin Whole 100g,https://www.bigbasket.com/pd/1208233/bb-combo-saffola-tasty-pro-fitness-conscious-edible-oil-3x1l-bb-royal-cumin-whole-100g-combo/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,0,Rs,0
Red Chilli/Lal Mirch 200gm + Cumin/Jeera - Whole 200gm,https://www.bigbasket.com/pd/1203206/bb-royal-red-chillilal-mirch-200gm-cuminjeera-whole-200gm-combo/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,340,194,43
Organic - Almond/Badam,https://www.bigbasket.com/pd/40101871/bb-royal-organic-almondbadam-500-g/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,675,526,22
Gold Refined Cooking oil | Blended Rice Bran & Sunflower oil | Helps Keeps Heart Healthy,https://www.bigbasket.com/pd/147491/saffola-gold-refined-cooking-oil-blended-rice-bran-sunflower-oil-helps-keeps-heart-healthy-1-l-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,200,157.50,21
Rice Bran Oil,https://www.bigbasket.com/pd/100647221/fortune-rice-bran-oil-1-l-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,185,132,29
Urad Dal/Uddina Bele - Split,https://www.bigbasket.com/pd/30000126/bb-royal-urad-dal-split-200-g-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,50,31,38
Toor/Arhar Dal,https://www.bigbasket.com/pd/10000412/bb-popular-toorarhar-dal-5-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,950,714,25
Refined - Sunflower Oil,https://www.bigbasket.com/pd/276757/dhara-refined-sunflower-oil-1-l-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,235,129,45
Tamarind/Imli - Deseeded,https://www.bigbasket.com/pd/20000486/bb-royal-deseeded-tamarindimli-1-kg/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,400,245,39
